"train/global_step","./llama_results_packing - _step","./llama_results_packing - _step__MIN","./llama_results_packing - _step__MAX","./llama_results_packing - eval/loss","./llama_results_packing - eval/loss__MIN","./llama_results_packing - eval/loss__MAX"
"12200","487","487","487","1.7581582069396973","1.7581582069396973","1.7581582069396973"
"12250","489","489","489","1.757438063621521","1.757438063621521","1.757438063621521"
"12300","491","491","491","1.7450634241104126","1.7450634241104126","1.7450634241104126"
"12350","493","493","493","1.7515861988067627","1.7515861988067627","1.7515861988067627"
"12400","495","495","495","1.7496634721755981","1.7496634721755981","1.7496634721755981"
"12450","497","497","497","1.7538082599639893","1.7538082599639893","1.7538082599639893"
"12500","499","499","499","1.7459670305252075","1.7459670305252075","1.7459670305252075"
"12550","501","501","501","1.7373871803283691","1.7373871803283691","1.7373871803283691"
"12600","503","503","503","1.7436059713363647","1.7436059713363647","1.7436059713363647"
"12650","505","505","505","1.734951376914978","1.734951376914978","1.734951376914978"
"12700","507","507","507","1.736504316329956","1.736504316329956","1.736504316329956"
"12750","509","509","509","1.7346272468566895","1.7346272468566895","1.7346272468566895"
"12800","511","511","511","1.7416154146194458","1.7416154146194458","1.7416154146194458"
"12850","513","513","513","1.7387008666992188","1.7387008666992188","1.7387008666992188"
"12900","515","515","515","1.7501262426376343","1.7501262426376343","1.7501262426376343"
"12950","517","517","517","1.7567110061645508","1.7567110061645508","1.7567110061645508"
"13000","519","519","519","1.7682468891143799","1.7682468891143799","1.7682468891143799"
"13050","521","521","521","1.7610440254211426","1.7610440254211426","1.7610440254211426"
"13100","523","523","523","1.7598198652267456","1.7598198652267456","1.7598198652267456"
"13150","525","525","525","1.760491132736206","1.760491132736206","1.760491132736206"
"13200","527","527","527","1.7565287351608276","1.7565287351608276","1.7565287351608276"
"13250","529","529","529","1.7547541856765747","1.7547541856765747","1.7547541856765747"
"13300","531","531","531","1.7613853216171265","1.7613853216171265","1.7613853216171265"
"13350","533","533","533","1.7893238067626953","1.7893238067626953","1.7893238067626953"
"13400","535","535","535","1.7803092002868652","1.7803092002868652","1.7803092002868652"
"13450","537","537","537","1.7789233922958374","1.7789233922958374","1.7789233922958374"
"13500","539","539","539","1.7841335535049438","1.7841335535049438","1.7841335535049438"
"13550","541","541","541","1.774990439414978","1.774990439414978","1.774990439414978"
"13600","543","543","543","1.7828686237335205","1.7828686237335205","1.7828686237335205"
"13650","545","545","545","1.7725344896316528","1.7725344896316528","1.7725344896316528"
"13700","547","547","547","1.7655785083770752","1.7655785083770752","1.7655785083770752"
"13750","549","549","549","1.7578498125076294","1.7578498125076294","1.7578498125076294"
"13800","551","551","551","1.7610620260238647","1.7610620260238647","1.7610620260238647"
"13850","553","553","553","1.7506911754608154","1.7506911754608154","1.7506911754608154"
"13900","555","555","555","1.7565562725067139","1.7565562725067139","1.7565562725067139"
"13950","557","557","557","1.7502193450927734","1.7502193450927734","1.7502193450927734"
"14000","559","559","559","1.7578721046447754","1.7578721046447754","1.7578721046447754"
"14050","561","561","561","1.7491683959960938","1.7491683959960938","1.7491683959960938"
"14100","563","563","563","1.7486439943313599","1.7486439943313599","1.7486439943313599"
"14150","565","565","565","1.7638918161392212","1.7638918161392212","1.7638918161392212"
"14200","567","567","567","1.7625679969787598","1.7625679969787598","1.7625679969787598"
"14250","569","569","569","1.7676852941513062","1.7676852941513062","1.7676852941513062"
"14300","571","571","571","1.7867895364761353","1.7867895364761353","1.7867895364761353"
"14350","573","573","573","1.7755578756332397","1.7755578756332397","1.7755578756332397"
"14400","575","575","575","1.76386559009552","1.76386559009552","1.76386559009552"
"14450","577","577","577","1.7649401426315308","1.7649401426315308","1.7649401426315308"
"14500","579","579","579","1.757127285003662","1.757127285003662","1.757127285003662"
"14550","581","581","581","1.7504477500915527","1.7504477500915527","1.7504477500915527"
"14600","583","583","583","1.810272216796875","1.810272216796875","1.810272216796875"
"14650","585","585","585","1.799206018447876","1.799206018447876","1.799206018447876"
"14700","587","587","587","1.798239827156067","1.798239827156067","1.798239827156067"
"14750","589","589","589","1.8014342784881592","1.8014342784881592","1.8014342784881592"
