"train/global_step","./llama_gpt_results_packing - _step","./llama_gpt_results_packing - _step__MIN","./llama_gpt_results_packing - _step__MAX","./llama_gpt_results_packing - eval/loss","./llama_gpt_results_packing - eval/loss__MIN","./llama_gpt_results_packing - eval/loss__MAX"
"9550","381","381","381","2.3453214168548584","2.3453214168548584","2.3453214168548584"
"9600","383","383","383","2.311998128890991","2.311998128890991","2.311998128890991"
"9650","385","385","385","2.3351504802703857","2.3351504802703857","2.3351504802703857"
"9700","387","387","387","2.3137900829315186","2.3137900829315186","2.3137900829315186"
"9750","389","389","389","2.3019626140594482","2.3019626140594482","2.3019626140594482"
"9800","391","391","391","2.335205316543579","2.335205316543579","2.335205316543579"
"9850","393","393","393","2.2467358112335205","2.2467358112335205","2.2467358112335205"
"9900","395","395","395","2.2865073680877686","2.2865073680877686","2.2865073680877686"
"9950","397","397","397","2.2858948707580566","2.2858948707580566","2.2858948707580566"
"10000","399","399","399","2.2733216285705566","2.2733216285705566","2.2733216285705566"
"10050","401","401","401","2.2669522762298584","2.2669522762298584","2.2669522762298584"
"10100","403","403","403","2.2943127155303955","2.2943127155303955","2.2943127155303955"
"10150","405","405","405","2.3945353031158447","2.3945353031158447","2.3945353031158447"
"10200","407","407","407","2.4889259338378906","2.4889259338378906","2.4889259338378906"
"10250","409","409","409","2.41772723197937","2.41772723197937","2.41772723197937"
"10300","411","411","411","2.4903528690338135","2.4903528690338135","2.4903528690338135"
"10350","413","413","413","2.418055772781372","2.418055772781372","2.418055772781372"
"10400","415","415","415","2.468853235244751","2.468853235244751","2.468853235244751"
"10450","417","417","417","2.472867012023926","2.472867012023926","2.472867012023926"
"10500","419","419","419","2.4717068672180176","2.4717068672180176","2.4717068672180176"
"10550","421","421","421","2.4631831645965576","2.4631831645965576","2.4631831645965576"
"10600","423","423","423","2.4443089962005615","2.4443089962005615","2.4443089962005615"
"10650","425","425","425","2.41989803314209","2.41989803314209","2.41989803314209"
"10700","427","427","427","2.3832948207855225","2.3832948207855225","2.3832948207855225"
"10750","429","429","429","2.3557727336883545","2.3557727336883545","2.3557727336883545"
"10800","431","431","431","2.386941432952881","2.386941432952881","2.386941432952881"
"10850","433","433","433","2.4025723934173584","2.4025723934173584","2.4025723934173584"
"10900","435","435","435","2.350900173187256","2.350900173187256","2.350900173187256"
"10950","437","437","437","2.356813907623291","2.356813907623291","2.356813907623291"
"11000","439","439","439","2.6242237091064453","2.6242237091064453","2.6242237091064453"
"11050","441","441","441","2.5627896785736084","2.5627896785736084","2.5627896785736084"
"11100","443","443","443","2.5443835258483887","2.5443835258483887","2.5443835258483887"
"11150","445","445","445","2.541888952255249","2.541888952255249","2.541888952255249"
"11200","447","447","447","2.570673942565918","2.570673942565918","2.570673942565918"
"11250","449","449","449","2.5236635208129883","2.5236635208129883","2.5236635208129883"
"11300","451","451","451","2.5494911670684814","2.5494911670684814","2.5494911670684814"
"11350","453","453","453","2.4816460609436035","2.4816460609436035","2.4816460609436035"
"11400","455","455","455","2.5058047771453857","2.5058047771453857","2.5058047771453857"
"11450","457","457","457","2.591468572616577","2.591468572616577","2.591468572616577"
"11500","459","459","459","2.5290417671203613","2.5290417671203613","2.5290417671203613"
"11550","461","461","461","2.5428879261016846","2.5428879261016846","2.5428879261016846"
"11600","463","463","463","2.548006057739258","2.548006057739258","2.548006057739258"
"11650","465","465","465","2.528902053833008","2.528902053833008","2.528902053833008"
"11700","467","467","467","2.5564465522766113","2.5564465522766113","2.5564465522766113"
"11750","469","469","469","2.5187816619873047","2.5187816619873047","2.5187816619873047"
"11800","471","471","471","2.4892818927764893","2.4892818927764893","2.4892818927764893"
"11850","473","473","473","2.768275260925293","2.768275260925293","2.768275260925293"
"11900","475","475","475","2.659939765930176","2.659939765930176","2.659939765930176"
"11950","477","477","477","2.6653342247009277","2.6653342247009277","2.6653342247009277"
"12000","479","479","479","2.694403886795044","2.694403886795044","2.694403886795044"
"12050","481","481","481","2.649186849594116","2.649186849594116","2.649186849594116"
