"train/global_step","./falcon_qwen_results_packing - _step","./falcon_qwen_results_packing - _step__MIN","./falcon_qwen_results_packing - _step__MAX","./falcon_qwen_results_packing - eval/loss","./falcon_qwen_results_packing - eval/loss__MIN","./falcon_qwen_results_packing - eval/loss__MAX"
"5800","231","231","231","1.3790181875228882","1.3790181875228882","1.3790181875228882"
"5850","233","233","233","1.3801900148391724","1.3801900148391724","1.3801900148391724"
"5900","235","235","235","1.3780148029327393","1.3780148029327393","1.3780148029327393"
"5950","237","237","237","1.3780986070632935","1.3780986070632935","1.3780986070632935"
"6000","239","239","239","1.3786261081695557","1.3786261081695557","1.3786261081695557"
"6050","241","241","241","1.3790476322174072","1.3790476322174072","1.3790476322174072"
"6100","243","243","243","1.3787176609039307","1.3787176609039307","1.3787176609039307"
"6150","245","245","245","1.3798022270202637","1.3798022270202637","1.3798022270202637"
"6200","247","247","247","1.3778499364852905","1.3778499364852905","1.3778499364852905"
"6250","249","249","249","1.3773221969604492","1.3773221969604492","1.3773221969604492"
"6300","251","251","251","1.3772510290145874","1.3772510290145874","1.3772510290145874"
"6350","253","253","253","1.3792486190795898","1.3792486190795898","1.3792486190795898"
"6400","255","255","255","1.3783025741577148","1.3783025741577148","1.3783025741577148"
"6450","257","257","257","1.3778133392333984","1.3778133392333984","1.3778133392333984"
"6500","259","259","259","1.3765369653701782","1.3765369653701782","1.3765369653701782"
"6550","261","261","261","1.3777307271957397","1.3777307271957397","1.3777307271957397"
"6600","263","263","263","1.377105712890625","1.377105712890625","1.377105712890625"
"6650","265","265","265","1.3778753280639648","1.3778753280639648","1.3778753280639648"
"6700","267","267","267","1.376684308052063","1.376684308052063","1.376684308052063"
"6750","269","269","269","1.3788748979568481","1.3788748979568481","1.3788748979568481"
"6800","271","271","271","1.377647876739502","1.377647876739502","1.377647876739502"
"6850","273","273","273","1.3765891790390015","1.3765891790390015","1.3765891790390015"
"6900","275","275","275","1.3773332834243774","1.3773332834243774","1.3773332834243774"
"6950","277","277","277","1.3757363557815552","1.3757363557815552","1.3757363557815552"
"7000","279","279","279","1.375766634941101","1.375766634941101","1.375766634941101"
"7050","281","281","281","1.3768107891082764","1.3768107891082764","1.3768107891082764"
"7100","283","283","283","1.3767921924591064","1.3767921924591064","1.3767921924591064"
"7150","285","285","285","1.3762348890304565","1.3762348890304565","1.3762348890304565"
"7200","287","287","287","1.375512957572937","1.375512957572937","1.375512957572937"
"7250","289","289","289","1.3767801523208618","1.3767801523208618","1.3767801523208618"
"7300","291","291","291","1.3758177757263184","1.3758177757263184","1.3758177757263184"
"7350","293","293","293","1.3772433996200562","1.3772433996200562","1.3772433996200562"
"7400","295","295","295","1.375875473022461","1.375875473022461","1.375875473022461"
"7450","297","297","297","1.376295804977417","1.376295804977417","1.376295804977417"
"7500","299","299","299","1.374901533126831","1.374901533126831","1.374901533126831"
"7550","301","301","301","1.3738969564437866","1.3738969564437866","1.3738969564437866"
"7600","303","303","303","1.3741856813430786","1.3741856813430786","1.3741856813430786"
"7650","305","305","305","1.3750669956207275","1.3750669956207275","1.3750669956207275"
"7700","307","307","307","1.375831127166748","1.375831127166748","1.375831127166748"
"7750","309","309","309","1.3762377500534058","1.3762377500534058","1.3762377500534058"
"7800","311","311","311","1.375084400177002","1.375084400177002","1.375084400177002"
"7850","313","313","313","1.3756369352340698","1.3756369352340698","1.3756369352340698"
"7900","315","315","315","1.3748352527618408","1.3748352527618408","1.3748352527618408"
"7950","317","317","317","1.3758282661437988","1.3758282661437988","1.3758282661437988"
"8000","319","319","319","1.374377965927124","1.374377965927124","1.374377965927124"
"8050","321","321","321","1.3761271238327026","1.3761271238327026","1.3761271238327026"
"8100","323","323","323","1.3744608163833618","1.3744608163833618","1.3744608163833618"
"8150","325","325","325","1.373932957649231","1.373932957649231","1.373932957649231"
"8200","327","327","327","1.37624192237854","1.37624192237854","1.37624192237854"
"8250","329","329","329","1.3740986585617065","1.3740986585617065","1.3740986585617065"
"8300","331","331","331","1.373947262763977","1.373947262763977","1.373947262763977"
"8350","333","333","333","1.3724560737609863","1.3724560737609863","1.3724560737609863"
"8400","335","335","335","1.3734663724899292","1.3734663724899292","1.3734663724899292"
"8450","337","337","337","1.3746060132980347","1.3746060132980347","1.3746060132980347"
"8500","339","339","339","1.3739176988601685","1.3739176988601685","1.3739176988601685"
"8550","341","341","341","1.373974084854126","1.373974084854126","1.373974084854126"
